state,ticker,n_days,mean,vol,skew,kurt,VaR_1,ES_1,VaR_5,ES_5
Estres,AAPL,671,0.0010826861750910298,0.027067903158380504,-0.4080439350183768,6.0219666969946175,-0.07024753655361479,-0.09819377180062785,-0.04135180289402131,-0.06141831484226064
Normal,AAPL,4071,0.0009328041539590228,0.018291411813473733,-0.2507185494776408,5.823894606622346,-0.05139801877760189,-0.07078185196237209,-0.027510165698621268,-0.042827306972991724
Estres,AMZN,671,0.0009363750270811368,0.03327632427227254,0.15544142714405537,2.758610639214131,-0.09584975114989924,-0.11157809526053776,-0.04931660692218391,-0.07475525682872058
Normal,AMZN,4071,0.0009652793262654404,0.021588142767401865,0.9310984799262146,14.319380922798741,-0.055523436328174525,-0.07730044305431176,-0.03048168158442121,-0.047076126022876516
Estres,BAC,671,-0.0005010288515543827,0.06177256819262593,-0.17171221270340226,7.128624803908085,-0.2069502047008447,-0.27311004101095965,-0.08936480519177976,-0.1569274195257231
Normal,BAC,4071,0.00018451359171654173,0.02078830039820654,-0.2868567316899557,10.314055604693003,-0.055714548239184127,-0.08188622690975726,-0.03117629075640533,-0.048660125029673144
Estres,BRK-B,671,-1.1156710079723241e-05,0.02168680595065371,0.7087927400501141,9.317344833866247,-0.058414825241985734,-0.07367029991476463,-0.03213719134630959,-0.04978138449190998
Normal,BRK-B,4071,0.0004730109126566186,0.011914220244335314,0.017959526211588372,10.128137516267634,-0.03053906924532775,-0.047422079233962584,-0.01684488687647647,-0.02671867241281003
Estres,CVX,671,-0.00043508421696286973,0.027773670090800298,0.2693198788372408,6.651470419900768,-0.08821123246788197,-0.10806233243678043,-0.042446039092373,-0.06329298398139778
Normal,CVX,4071,0.0004658130391419374,0.01617888156294808,-1.0778208128146394,29.78636195230618,-0.04072713826844988,-0.06541383401434032,-0.023575316421192115,-0.03694970865108005
Estres,GLD,671,0.000309517044974545,0.01481257737044753,0.24947021768960542,6.864398520558668,-0.04088786247057354,-0.05641996668071222,-0.020991596884373527,-0.03415226452826069
Normal,GLD,4071,0.000423319594884292,0.010553313979912193,-0.6932013520611412,6.823075031358741,-0.02932012453193367,-0.04156866603264619,-0.016703560890291753,-0.025224864766191
Estres,GME,671,-0.0009618648518269039,0.05147514945910013,0.5377086255804978,3.5961450179992593,-0.142185883683959,-0.16223599570965658,-0.07660631813127401,-0.10855564013021791
Normal,GME,4071,0.0005037911147359566,0.05317105694188402,0.9317197255659833,75.22277261817358,-0.11830012887513662,-0.240161067794725,-0.05192907913239471,-0.10583314380762279
Estres,GOOGL,671,0.00026696083604395873,0.02613037769022348,-0.023957696132993384,3.2661241089880675,-0.06987041919611288,-0.09219078824553255,-0.04271619679027379,-0.06103247614933088
Normal,GOOGL,4071,0.0007609725147718593,0.017166590074796664,0.3668869413608911,9.942948217122638,-0.047509634003803265,-0.0638116814428443,-0.025216104325161758,-0.039687383461829116
Estres,HYG,671,0.00011970349350622447,0.01356163506479992,0.39924057167858074,14.285429255625559,-0.04326610474380087,-0.05839409385686739,-0.01792528124977496,-0.03359381268961344
Normal,HYG,4071,0.00020538438551002185,0.0050178486417029175,-0.3019021016754479,22.011702179810978,-0.013776419934167767,-0.022271527096904026,-0.006863343018712201,-0.01195665517138993
Estres,IEF,671,0.0001021219879527973,0.006230145389694926,0.39369687374020296,1.546584865413425,-0.014069859977551712,-0.01618906178691849,-0.009890030024081998,-0.012410271565615208
Normal,IEF,4071,0.00013911901153699293,0.004028632886701248,-0.06116496583751192,2.0128731185303006,-0.010329327601173537,-0.012864865996213344,-0.006437905262400288,-0.008867008652397134
Estres,JNJ,671,-2.3736399192253405e-05,0.014625988053758532,0.5398828715340621,9.868145305636258,-0.043653527786863974,-0.05442865642912322,-0.022220110346039983,-0.03534135582056279
Normal,JNJ,4071,0.0004756766805937556,0.01045885435822462,-0.3271853931980587,9.926790402364059,-0.027378428951786056,-0.041850361163718756,-0.015198077664610496,-0.02412133989866967
Estres,JPM,671,0.0006959653497990835,0.04472056023606896,0.24317456221671405,5.866890445373462,-0.13048809597264435,-0.17269161556997398,-0.06646447111592693,-0.10639422670334965
Normal,JPM,4071,0.00044956236710700704,0.017759245926488282,-0.006360530078108256,9.160010920185986,-0.04857297753313587,-0.06700056043134578,-0.027055933018378164,-0.041707050506771814
Estres,MSFT,671,0.0007163286050469587,0.026197611438428338,0.2369730751981438,4.636773326326896,-0.06993648516847592,-0.08814919389384397,-0.04204085333132093,-0.06056806915763279
Normal,MSFT,4071,0.000619188759321386,0.015747537353717225,-0.20879279990419516,8.934522190736148,-0.04067650089595251,-0.05927784411802446,-0.024085369598411135,-0.036250959443636106
Estres,NVDA,671,0.0025289533150436357,0.041205568905619466,0.014109601349541177,2.155204230617357,-0.10476483823633043,-0.12901349927415404,-0.06314851011864633,-0.09097126314961246
Normal,NVDA,4071,0.0010583742137287443,0.02903577026406229,-0.5008115172164156,12.179640833097338,-0.0743099237259412,-0.11135686875620411,-0.043523626193436374,-0.06676427472873016
Estres,PG,671,-2.9901309160365345e-05,0.016655722362643514,-0.2927543618337525,4.293381263363315,-0.05241311867210792,-0.0671514777530199,-0.02714405900306423,-0.040489943726858754
Normal,PG,4071,0.00036695771526728713,0.01061373204572747,0.0015825870006889462,10.916591728937602,-0.029827833109625328,-0.043219047815046284,-0.015058148628854677,-0.024670965124123753
Estres,SHY,671,7.237201480322922e-05,0.001566549057315459,0.4445464386121879,4.524888286279918,-0.004236771647284579,-0.005085694959023676,-0.002187356947360307,-0.0034461159921582714
Normal,SHY,4071,7.43313652036935e-05,0.0008175593629207305,0.21176173166377954,5.718966598074227,-0.0021064711147799928,-0.003009515986711913,-0.0010917421872971272,-0.001770464298135186
Estres,XOM,671,-2.7977163859223577e-05,0.02714263113274816,0.11799610276736876,5.533885513373049,-0.0775986895941115,-0.10326723724882576,-0.04332909200656436,-0.06285457498785207
Normal,XOM,4071,0.00032947610069337143,0.014726664295261808,-0.2515196302370083,7.430353342634271,-0.03928157488843704,-0.055661528924325396,-0.022354409543919075,-0.0342990659880102
