,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG
AAPL,1.0,0.6077629691668984,0.4595179175236761,0.5557054075437224,0.4463024732397105,0.40047873779545606,0.6885437985471352,0.42928525507652415,0.490767685323961,0.6611683899671079,0.6263269676100379,0.4473811074136795,0.414492694097304,0.10668513052060212,-0.14993593688187395,-0.050322893154555466,0.5198763911343863
AMZN,0.6077629691668984,1.0,0.35248016017306194,0.44088297487610106,0.32360890360105327,0.38957210857311075,0.6503863943130535,0.3167683552753304,0.3863861427858505,0.6549081413075204,0.5712390981278075,0.3002755130367353,0.2814613578427796,0.1732723731560965,-0.05393206646851003,-0.0015232768980941802,0.477716212279659
BAC,0.4595179175236761,0.35248016017306194,1.0,0.6335664417716846,0.5606747922197912,0.35541285283637947,0.4639009592374339,0.35095582895165583,0.813913561490609,0.405979510255355,0.38770031262349514,0.40224110651808936,0.5013875023899992,0.09156665551442729,-0.21314510658585645,-0.16025625701971125,0.5116629447278784
BRK-B,0.5557054075437224,0.44088297487610106,0.6335664417716846,1.0,0.606951391971677,0.40060152612607314,0.5517801623181219,0.4750487514007913,0.665705066503014,0.5172237727066185,0.4591246399495099,0.45385280728788346,0.5706829200554662,0.12292626070025908,-0.20252383436904217,-0.1108272525980754,0.581006565245348
CVX,0.4463024732397105,0.32360890360105327,0.5606747922197912,0.606951391971677,1.0,0.35615357548104243,0.4507696487761261,0.42203828413405126,0.5915989716333345,0.46781462929735906,0.4259197495143376,0.4253072807718642,0.8948029548009773,0.17946137300298404,-0.2756152944293679,-0.19912258901252156,0.49852408164526585
ENPH,0.40047873779545606,0.38957210857311075,0.35541285283637947,0.40060152612607314,0.35615357548104243,1.0,0.3748683528923882,0.322515535761029,0.3251102076917459,0.3494617087232168,0.43482532076935737,0.2521431448252403,0.3336461660969156,0.14915602947422377,-0.09428001032761778,-0.02818644426233763,0.4478765654212463
GOOGL,0.6885437985471352,0.6503863943130535,0.4639009592374339,0.5517801623181219,0.4507696487761261,0.3748683528923882,1.0,0.3988622759231679,0.5181098446366545,0.6629088863328476,0.6079090289965491,0.4015481981398727,0.3829369058133084,0.1590380927654045,-0.10513914273206942,-0.015183180677844436,0.5378728342931409
JNJ,0.42928525507652415,0.3167683552753304,0.35095582895165583,0.4750487514007913,0.42203828413405126,0.322515535761029,0.3988622759231679,1.0,0.3804084831168363,0.43435162580646536,0.3057765107687921,0.6231454731878605,0.38599789288427977,0.1251322701695604,-0.0890126005634527,0.009469556793517686,0.4122291698662888
JPM,0.490767685323961,0.3863861427858505,0.813913561490609,0.665705066503014,0.5915989716333345,0.3251102076917459,0.5181098446366545,0.3804084831168363,1.0,0.4391165297164927,0.42748884215880145,0.454125701281643,0.5371140825593771,0.10426876404105132,-0.22222506242028228,-0.16381173374395075,0.5240275306265946
MSFT,0.6611683899671079,0.6549081413075204,0.405979510255355,0.5172237727066185,0.46781462929735906,0.3494617087232168,0.6629088863328476,0.43435162580646536,0.4391165297164927,1.0,0.6188799163674743,0.4537855305510702,0.4268755604616184,0.17240637528950814,-0.10508240499596078,-0.029376859891301982,0.5145746884687967
NVDA,0.6263269676100379,0.5712390981278075,0.38770031262349514,0.4591246399495099,0.4259197495143376,0.43482532076935737,0.6079090289965491,0.3057765107687921,0.42748884215880145,0.6188799163674743,1.0,0.3446470058034315,0.3730135506414307,0.18734219718061698,-0.1316376912680484,-0.046114675076162195,0.5071316867416035
PG,0.4473811074136795,0.3002755130367353,0.40224110651808936,0.45385280728788346,0.4253072807718642,0.2521431448252403,0.4015481981398727,0.6231454731878605,0.454125701281643,0.4537855305510702,0.3446470058034315,1.0,0.4205060800740875,0.12450752389632262,-0.10014424405743495,-0.016810049655401692,0.4564126801829763
XOM,0.414492694097304,0.2814613578427796,0.5013875023899992,0.5706829200554662,0.8948029548009773,0.3336461660969156,0.3829369058133084,0.38599789288427977,0.5371140825593771,0.4268755604616184,0.3730135506414307,0.4205060800740875,1.0,0.13437949763299575,-0.2879071186109239,-0.19766705071089283,0.4343471183918984
GLD,0.10668513052060212,0.1732723731560965,0.09156665551442729,0.12292626070025908,0.17946137300298404,0.14915602947422377,0.1590380927654045,0.1251322701695604,0.10426876404105132,0.17240637528950814,0.18734219718061698,0.12450752389632262,0.13437949763299575,1.0,0.21605968504502518,0.2586845569798506,0.16957058843123451
IEF,-0.14993593688187395,-0.05393206646851003,-0.21314510658585645,-0.20252383436904217,-0.2756152944293679,-0.09428001032761778,-0.10513914273206942,-0.0890126005634527,-0.22222506242028228,-0.10508240499596078,-0.1316376912680484,-0.10014424405743495,-0.2879071186109239,0.21605968504502518,1.0,0.798181910099555,-0.029853970290451753
SHY,-0.050322893154555466,-0.0015232768980941802,-0.16025625701971125,-0.1108272525980754,-0.19912258901252156,-0.02818644426233763,-0.015183180677844436,0.009469556793517686,-0.16381173374395075,-0.029376859891301982,-0.046114675076162195,-0.016810049655401692,-0.19766705071089283,0.2586845569798506,0.798181910099555,1.0,0.06955789335970566
HYG,0.5198763911343863,0.477716212279659,0.5116629447278784,0.581006565245348,0.49852408164526585,0.4478765654212463,0.5378728342931409,0.4122291698662888,0.5240275306265946,0.5145746884687967,0.5071316867416035,0.4564126801829763,0.4343471183918984,0.16957058843123451,-0.029853970290451753,0.06955789335970566,1.0
