,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG
AAPL,1.0,0.4930409726175598,0.35151215274049896,0.3573422636427276,0.31121204939167324,0.2971840631674003,0.5360990979636395,0.25782408067258106,0.36721294927335146,0.5226758319482253,0.4545977970452605,0.266226348212677,0.2957272181076538,-0.0023046676388490204,-0.190259459440458,-0.16417785925716777,0.421913670113848
AMZN,0.4930409726175598,1.0,0.3532701141117289,0.34428712160265673,0.2947251590246518,0.27155831660695745,0.6196802553345134,0.24471516625718348,0.3711606790313954,0.5619845649311513,0.47927363000953027,0.22277210624615537,0.2779369037523843,-0.0337150927858296,-0.19524644219592516,-0.18089516854077464,0.4108861927684234
BAC,0.35151215274049896,0.3532701141117289,1.0,0.6008252284666321,0.46419453394241494,0.25667278582882336,0.3928111926196322,0.3382106042664116,0.8387788368670592,0.3943445648317596,0.352948152463812,0.28474864909260594,0.4591988617755537,-0.10790839257944317,-0.39517489880612233,-0.3119474283914234,0.45515250433876175
BRK-B,0.3573422636427276,0.34428712160265673,0.6008252284666321,1.0,0.4748654920997004,0.22335723345870734,0.39797317449335184,0.46133906075522013,0.6175478929808713,0.39396595682978874,0.3050464716679948,0.4012727864740261,0.4663938925395291,-0.06246714190506208,-0.2695444204114549,-0.17892211435125457,0.4624477146149669
CVX,0.31121204939167324,0.2947251590246518,0.46419453394241494,0.4748654920997004,1.0,0.26496544329863,0.33259686044697206,0.36282478353154446,0.48342836345859697,0.34891641452268474,0.2838995641057943,0.31062158641946286,0.8298913475425196,0.1098422347865622,-0.28034260833697366,-0.2105932005988189,0.4399251443868006
ENPH,0.2971840631674003,0.27155831660695745,0.25667278582882336,0.22335723345870734,0.26496544329863,1.0,0.2708473661303589,0.14072419240547573,0.2398442181916798,0.28592510006520033,0.29068783667347015,0.12441994918052422,0.23860393594142407,0.048650987610054014,-0.09883425633433349,-0.06088217831913799,0.32421724849349187
GOOGL,0.5360990979636395,0.6196802553345134,0.3928111926196322,0.39797317449335184,0.33259686044697206,0.2708473661303589,1.0,0.30153380885350245,0.41748657543779993,0.5984626724191844,0.4956555032465642,0.27178755138438504,0.3232801582008497,-0.010821474595017415,-0.2031225006189577,-0.16631803004072837,0.4522322835329665
JNJ,0.25782408067258106,0.24471516625718348,0.3382106042664116,0.46133906075522013,0.36282478353154446,0.14072419240547573,0.30153380885350245,1.0,0.3802923940868725,0.3304735575458191,0.16747695016540592,0.5145332533008757,0.36612586509914147,-0.008380552804519707,-0.17286768932482904,-0.11212353264496258,0.3461323361286632
JPM,0.36721294927335146,0.3711606790313954,0.8387788368670592,0.6175478929808713,0.48342836345859697,0.2398442181916798,0.41748657543779993,0.3802923940868725,1.0,0.4347075602787802,0.36287450261416854,0.31868692102604324,0.4782198801222515,-0.0960174385360211,-0.39947321734038455,-0.3195549266393586,0.45479616751614965
MSFT,0.5226758319482253,0.5619845649311513,0.3943445648317596,0.39396595682978874,0.34891641452268474,0.28592510006520033,0.5984626724191844,0.3304735575458191,0.4347075602787802,1.0,0.537831984762109,0.3403632116827343,0.3245823299333246,-0.02007996349162627,-0.21995010070588641,-0.199878252050119,0.4747314530605562
NVDA,0.4545977970452605,0.47927363000953027,0.352948152463812,0.3050464716679948,0.2838995641057943,0.29068783667347015,0.4956555032465642,0.16747695016540592,0.36287450261416854,0.537831984762109,1.0,0.16520965525759668,0.2568331634177413,-0.0031075024049047944,-0.20902316350038044,-0.1909338950575003,0.4023884256980512
PG,0.266226348212677,0.22277210624615537,0.28474864909260594,0.4012727864740261,0.31062158641946286,0.12441994918052422,0.27178755138438504,0.5145332533008757,0.31868692102604324,0.3403632116827343,0.16520965525759668,1.0,0.32022097758909346,0.007938133876663443,-0.10726294125314988,-0.06828073451513006,0.33320498034722795
XOM,0.2957272181076538,0.2779369037523843,0.4591988617755537,0.4663938925395291,0.8298913475425196,0.23860393594142407,0.3232801582008497,0.36612586509914147,0.4782198801222515,0.3245823299333246,0.2568331634177413,0.32022097758909346,1.0,0.09881635149992853,-0.29419920101778263,-0.22491520238889215,0.4147208010825124
GLD,-0.0023046676388490204,-0.0337150927858296,-0.10790839257944317,-0.06246714190506208,0.1098422347865622,0.048650987610054014,-0.010821474595017415,-0.008380552804519707,-0.0960174385360211,-0.02007996349162627,-0.0031075024049047944,0.007938133876663443,0.09881635149992853,1.0,0.23587655801847682,0.23893385767213587,0.067522164463999
IEF,-0.190259459440458,-0.19524644219592516,-0.39517489880612233,-0.2695444204114549,-0.28034260833697366,-0.09883425633433349,-0.2031225006189577,-0.17286768932482904,-0.39947321734038455,-0.21995010070588641,-0.20902316350038044,-0.10726294125314988,-0.29419920101778263,0.23587655801847682,1.0,0.7726442529435724,-0.0785856723670621
SHY,-0.16417785925716777,-0.18089516854077464,-0.3119474283914234,-0.17892211435125457,-0.2105932005988189,-0.06088217831913799,-0.16631803004072837,-0.11212353264496258,-0.3195549266393586,-0.199878252050119,-0.1909338950575003,-0.06828073451513006,-0.22491520238889215,0.23893385767213587,0.7726442529435724,1.0,-0.016786414677039962
HYG,0.421913670113848,0.4108861927684234,0.45515250433876175,0.4624477146149669,0.4399251443868006,0.32421724849349187,0.4522322835329665,0.3461323361286632,0.45479616751614965,0.4747314530605562,0.4023884256980512,0.33320498034722795,0.4147208010825124,0.067522164463999,-0.0785856723670621,-0.016786414677039962,1.0
