,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG
AAPL,1.0,0.5997103161522489,0.461969799480687,0.5538965659987362,0.45437635475685634,0.3990866924522172,0.6811312366633495,0.43578780897846725,0.499068940814942,0.6516898943748526,0.6199558546803431,0.4522159455678475,0.4177953325073964,0.1068102731074293,-0.14992295039638767,-0.04832493490126744,0.5149805039389538
AMZN,0.5997103161522489,1.0,0.35048658727196164,0.43965614839980416,0.32990265499405963,0.38667054145084867,0.6390725937499464,0.31780970914086976,0.38816924962867294,0.6520737804241266,0.5602470153275207,0.2970780500171394,0.28421271204854237,0.17548985848868154,-0.050681552877679996,0.0002910600037272879,0.46838839692475226
BAC,0.461969799480687,0.35048658727196164,1.0,0.6315212522879288,0.561155358406513,0.3544382101215167,0.46143791480959,0.35480313873881714,0.8168276142530546,0.41282310893021223,0.38692584757141457,0.4036087109050332,0.4985366608516454,0.08767579398206904,-0.20641111748267305,-0.15962361979809195,0.5121079074578021
BRK-B,0.5538965659987362,0.43965614839980416,0.6315212522879288,1.0,0.6117656322115534,0.39867436291598424,0.5541689298865081,0.4815401677442003,0.6659301680216609,0.5218036114891191,0.4586964834757018,0.45208636417220016,0.5718340658493145,0.11629623280177656,-0.19537556002438922,-0.10992724520177932,0.5853739886859435
CVX,0.45437635475685634,0.32990265499405963,0.561155358406513,0.6117656322115534,1.0,0.36076332147263845,0.4596394120885104,0.43481609379300273,0.5971568715286006,0.4738329206372638,0.4276513340424276,0.43144829582201133,0.8958100753956417,0.18588681346248404,-0.2699376166335164,-0.196967078304493,0.4956799564872728
ENPH,0.3990866924522172,0.38667054145084867,0.3544382101215167,0.39867436291598424,0.36076332147263845,1.0,0.3721469086136485,0.3285186593875284,0.3282355505511736,0.34746262903617264,0.42987492059197474,0.25451351854718807,0.33537154395677315,0.15032204087015671,-0.0915754723808492,-0.029915975255693714,0.4429642788513918
GOOGL,0.6811312366633495,0.6390725937499464,0.46143791480959,0.5541689298865081,0.4596394120885104,0.3721469086136485,1.0,0.40032341828365225,0.522527333576077,0.6559084973913105,0.6020404417027931,0.40187914455542595,0.38748478958309984,0.15917619654310033,-0.10030300107069182,-0.014572229449182517,0.5332571918503473
JNJ,0.43578780897846725,0.31780970914086976,0.35480313873881714,0.4815401677442003,0.43481609379300273,0.3285186593875284,0.40032341828365225,1.0,0.38665165211351743,0.4351425549607465,0.3112761837308813,0.6243424362800225,0.3964704391635141,0.13031287076459303,-0.09743499263029405,0.002959316797922002,0.4119276783067879
JPM,0.499068940814942,0.38816924962867294,0.8168276142530546,0.6659301680216609,0.5971568715286006,0.3282355505511736,0.522527333576077,0.38665165211351743,1.0,0.4459509188590639,0.4257341250729765,0.4580052612785859,0.5373493136355857,0.09618788790903318,-0.21746872258560937,-0.1647235883067576,0.5264229399251672
MSFT,0.6516898943748526,0.6520737804241266,0.41282310893021223,0.5218036114891191,0.4738329206372638,0.34746262903617264,0.6559084973913105,0.4351425549607465,0.4459509188590639,1.0,0.6141067142206686,0.4571960209056435,0.4301882484781115,0.17431063541612535,-0.1032864204080185,-0.02987051860188341,0.5126288823806986
NVDA,0.6199558546803431,0.5602470153275207,0.38692584757141457,0.4586964834757018,0.4276513340424276,0.42987492059197474,0.6020404417027931,0.3112761837308813,0.4257341250729765,0.6141067142206686,1.0,0.3480494768833966,0.37328700733580716,0.18673681707873116,-0.12197565613086224,-0.04097847370396708,0.49939324001305097
PG,0.4522159455678475,0.2970780500171394,0.4036087109050332,0.45208636417220016,0.43144829582201133,0.25451351854718807,0.40187914455542595,0.6243424362800225,0.4580052612785859,0.4571960209056435,0.3480494768833966,1.0,0.4243884647552308,0.12673492665200065,-0.10294307224659191,-0.020481669681648863,0.4543362874135439
XOM,0.4177953325073964,0.28421271204854237,0.4985366608516454,0.5718340658493145,0.8958100753956417,0.33537154395677315,0.38748478958309984,0.3964704391635141,0.5373493136355857,0.4301882484781115,0.37328700733580716,0.4243884647552308,1.0,0.13715848510650314,-0.280506975533715,-0.19313376407317073,0.43187419441093544
GLD,0.1068102731074293,0.17548985848868154,0.08767579398206904,0.11629623280177656,0.18588681346248404,0.15032204087015671,0.15917619654310033,0.13031287076459303,0.09618788790903318,0.17431063541612535,0.18673681707873116,0.12673492665200065,0.13715848510650314,1.0,0.21401042292897182,0.2572970879176818,0.1573885373424544
IEF,-0.14992295039638767,-0.050681552877679996,-0.20641111748267305,-0.19537556002438922,-0.2699376166335164,-0.0915754723808492,-0.10030300107069182,-0.09743499263029405,-0.21746872258560937,-0.1032864204080185,-0.12197565613086224,-0.10294307224659191,-0.280506975533715,0.21401042292897182,1.0,0.7969705298700303,-0.027139984974822007
SHY,-0.04832493490126744,0.0002910600037272879,-0.15962361979809195,-0.10992724520177932,-0.196967078304493,-0.029915975255693714,-0.014572229449182517,0.002959316797922002,-0.1647235883067576,-0.02987051860188341,-0.04097847370396708,-0.020481669681648863,-0.19313376407317073,0.2572970879176818,0.7969705298700303,1.0,0.06684666545898767
HYG,0.5149805039389538,0.46838839692475226,0.5121079074578021,0.5853739886859435,0.4956799564872728,0.4429642788513918,0.5332571918503473,0.4119276783067879,0.5264229399251672,0.5126288823806986,0.49939324001305097,0.4543362874135439,0.43187419441093544,0.1573885373424544,-0.027139984974822007,0.06684666545898767,1.0
