,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG
AAPL,1.0,0.49726706780810304,0.36111415331216434,0.3650073191353275,0.3241303457750379,0.29937118550732883,0.5419665754321797,0.2679658040071002,0.3760328217998885,0.5284107647314805,0.4595914146105532,0.2769370303523777,0.3059822020987213,-0.005160583977753321,-0.19805491181244617,-0.17448859760424718,0.4269583886441184
AMZN,0.49726706780810304,1.0,0.35890948572895787,0.3468944519838736,0.30229880423752054,0.26744331388936887,0.6171238821266566,0.24920686374724826,0.3750904606378125,0.5616250043318993,0.47686901774301194,0.22649158768075778,0.2845318118808526,-0.03679730596807797,-0.19790864372723388,-0.1879557833849213,0.4097225984057876
BAC,0.36111415331216434,0.35890948572895787,1.0,0.6030381114557692,0.47270292375797973,0.2566654665390372,0.3985024180200051,0.3468820859696692,0.8418934274900811,0.40283150816107527,0.3565511563511071,0.2952930146057323,0.46622766932894366,-0.11198564631126313,-0.39785014412272535,-0.31565131246271183,0.4666289997310445
BRK-B,0.3650073191353275,0.3468944519838736,0.6030381114557692,1.0,0.4844642666542124,0.22525717411704743,0.40306269083157925,0.4670957236283253,0.6172673438783469,0.4029912352978099,0.312921748173748,0.40759030243330285,0.47332411880624814,-0.06359073731027942,-0.2717833812411345,-0.17723321240416567,0.4698554644058528
CVX,0.3241303457750379,0.30229880423752054,0.47270292375797973,0.4844642666542124,1.0,0.26911879138002576,0.3409294089150563,0.37517591318647936,0.4910491600454909,0.36221188966062356,0.2931426162109626,0.3202406397615778,0.833260851338112,0.10708134882082541,-0.2808978287227162,-0.21513263247374578,0.4529433173091765
ENPH,0.29937118550732883,0.26744331388936887,0.2566654665390372,0.22525717411704743,0.26911879138002576,1.0,0.26792881271263597,0.1419693034954832,0.23968428436968822,0.2846968549563465,0.28807817338017816,0.12812807887935188,0.24059246056891145,0.05221487499869549,-0.09722138339643493,-0.0612155986264602,0.32129034925134237
GOOGL,0.5419665754321797,0.6171238821266566,0.3985024180200051,0.40306269083157925,0.3409294089150563,0.26792881271263597,1.0,0.3058131013835472,0.42114534647827206,0.6018888413149168,0.49584051979188726,0.2769335737957369,0.3289579582904033,-0.013270597628379852,-0.20679719765089422,-0.17189408588783223,0.453434159982235
JNJ,0.2679658040071002,0.24920686374724826,0.3468820859696692,0.4670957236283253,0.37517591318647936,0.1419693034954832,0.3058131013835472,1.0,0.38703710264299834,0.3410287567028084,0.1735094729621242,0.5218655389568418,0.3780373741050014,-0.010033195181470524,-0.17721474314908509,-0.11533445556952503,0.3546212930570686
JPM,0.3760328217998885,0.3750904606378125,0.8418934274900811,0.6172673438783469,0.4910491600454909,0.23968428436968822,0.42114534647827206,0.38703710264299834,1.0,0.44113853365379163,0.3651101160925711,0.3273352065390087,0.4841346296041852,-0.09986025678353089,-0.403921210207556,-0.32456180221488146,0.46218003214984815
MSFT,0.5284107647314805,0.5616250043318993,0.40283150816107527,0.4029912352978099,0.36221188966062356,0.2846968549563465,0.6018888413149168,0.3410287567028084,0.44113853365379163,1.0,0.5396712829964531,0.3489797815546211,0.33558900727675844,-0.019984769495768537,-0.22499290782869208,-0.20629379624969618,0.4790388468930211
NVDA,0.4595914146105532,0.47686901774301194,0.3565511563511071,0.312921748173748,0.2931426162109626,0.28807817338017816,0.49584051979188726,0.1735094729621242,0.3651101160925711,0.5396712829964531,1.0,0.17340521997047323,0.26574884130707105,-0.0023823770178136652,-0.2137116939269606,-0.1971172501300843,0.4031409742348378
PG,0.2769370303523777,0.22649158768075778,0.2952930146057323,0.40759030243330285,0.3202406397615778,0.12812807887935188,0.2769335737957369,0.5218655389568418,0.3273352065390087,0.3489797815546211,0.17340521997047323,1.0,0.33036674122897236,0.006841419071649012,-0.11374735529979796,-0.07392901142669554,0.3429616250721377
XOM,0.3059822020987213,0.2845318118808526,0.46622766932894366,0.47332411880624814,0.833260851338112,0.24059246056891145,0.3289579582904033,0.3780373741050014,0.4841346296041852,0.33558900727675844,0.26574884130707105,0.33036674122897236,1.0,0.09740031476076239,-0.2961304089088583,-0.23117059871957713,0.42466030117347564
GLD,-0.005160583977753321,-0.03679730596807797,-0.11198564631126313,-0.06359073731027942,0.10708134882082541,0.05221487499869549,-0.013270597628379852,-0.010033195181470524,-0.09986025678353089,-0.019984769495768537,-0.0023823770178136652,0.006841419071649012,0.09740031476076239,1.0,0.2349426560582344,0.23114041805458774,0.061481220602446304
IEF,-0.19805491181244617,-0.19790864372723388,-0.39785014412272535,-0.2717833812411345,-0.2808978287227162,-0.09722138339643493,-0.20679719765089422,-0.17721474314908509,-0.403921210207556,-0.22499290782869208,-0.2137116939269606,-0.11374735529979796,-0.2961304089088583,0.2349426560582344,1.0,0.7722884784968773,-0.08716988154594069
SHY,-0.17448859760424718,-0.1879557833849213,-0.31565131246271183,-0.17723321240416567,-0.21513263247374578,-0.0612155986264602,-0.17189408588783223,-0.11533445556952503,-0.32456180221488146,-0.20629379624969618,-0.1971172501300843,-0.07392901142669554,-0.23117059871957713,0.23114041805458774,0.7722884784968773,1.0,-0.028615153131906025
HYG,0.4269583886441184,0.4097225984057876,0.4666289997310445,0.4698554644058528,0.4529433173091765,0.32129034925134237,0.453434159982235,0.3546212930570686,0.46218003214984815,0.4790388468930211,0.4031409742348378,0.3429616250721377,0.42466030117347564,0.061481220602446304,-0.08716988154594069,-0.028615153131906025,1.0
