,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG
AAPL,1.0,0.12531351304717087,0.0693607757602348,0.10318361851504507,0.06708428817209422,0.05244691537651051,0.17648816483269517,0.06179564333466655,0.08153485356597884,0.15596275518566005,0.13648091808134102,0.06644917021995461,0.05703958079043908,0.012532516997812075,0.0026649564617496793,0.005139680518753995,0.08733601829664582
AMZN,0.12531351304717087,1.0,0.042025100918445656,0.06286393514997578,0.03819866139489211,0.04958536316981267,0.14791006916885777,0.03609760749834702,0.04992317235807173,0.15621443246325262,0.10601265472985483,0.03273224105728704,0.030785681214329168,0.017977801373383707,0.005065689840608339,0.006884076606562819,0.07133981970852002
BAC,0.0693607757602348,0.042025100918445656,1.0,0.14328776596618442,0.10642324498416046,0.04279744415112368,0.06919905202861099,0.042869402244494065,0.31487868244852313,0.055784923728767234,0.04964276408294242,0.053525382399851267,0.08134710108723073,0.011296238295646976,0.001791737082101565,0.0024937269092374795,0.08626120530998048
BRK-B,0.10318361851504507,0.06286393514997578,0.14328776596618442,1.0,0.13185187849174332,0.05234955629419569,0.10330347688755694,0.07555732370243566,0.1655739756299727,0.08993903095589674,0.06837094396677326,0.06641125050552274,0.11136449020925335,0.013187275421946539,0.0019401353502840114,0.003479368624406262,0.1179434527655921
CVX,0.06708428817209422,0.03819866139489211,0.10642324498416046,0.13185187849174332,1.0,0.044060000601413275,0.06865474971425288,0.061529892023689525,0.12396927829842222,0.07305887377115976,0.0596021619816305,0.06061683894505194,0.45324968712525326,0.01895824645324684,0.0011095952078174402,0.0019181186819634364,0.08034624995675245
ENPH,0.05244691537651051,0.04958536316981267,0.04279744415112368,0.05234955629419569,0.044060000601413275,1.0,0.046416164649411715,0.03795284326696886,0.0379027318729812,0.04144246674997516,0.0601944977078221,0.026675265819388904,0.03918387327022812,0.015783949088037038,0.003917941925749579,0.005749838960294718,0.06379078311080182
GOOGL,0.17648816483269517,0.14791006916885777,0.06919905202861099,0.10330347688755694,0.06865474971425288,0.046416164649411715,1.0,0.0527399071809146,0.09021932326507343,0.15875069299902742,0.12655241018500302,0.05311056197587467,0.04976863988936603,0.01652777801734635,0.0037038892862885637,0.0063043153659897745,0.09447162767737531
JNJ,0.06179564333466655,0.03609760749834702,0.042869402244494065,0.07555732370243566,0.061529892023689525,0.03795284326696886,0.0527399071809146,1.0,0.04958111861132022,0.061619059063902956,0.035005524460326606,0.13902470401930642,0.05183191432435614,0.014208501665337988,0.003773113236483223,0.006992808424371715,0.055561639839628155
JPM,0.08153485356597884,0.04992317235807173,0.31487868244852313,0.1655739756299727,0.12396927829842222,0.0379027318729812,0.09021932326507343,0.04958111861132022,1.0,0.06463820161695796,0.05909568076816485,0.06816357800596994,0.09614211064669237,0.011832628819191,0.0016527082943263772,0.0024074811545007377,0.09174209233623162
MSFT,0.15596275518566005,0.15621443246325262,0.055784923728767234,0.08993903095589674,0.07305887377115976,0.04144246674997516,0.15875069299902742,0.061619059063902956,0.06463820161695796,1.0,0.13315926509269857,0.06792153575340677,0.06027839125925323,0.017869421855749128,0.003633020052632409,0.005751418348165521,0.08645521780856384
NVDA,0.13648091808134102,0.10601265472985483,0.04964276408294242,0.06837094396677326,0.0596021619816305,0.0601944977078221,0.12655241018500302,0.035005524460326606,0.05909568076816485,0.13315926509269857,1.0,0.041554971525697176,0.04665822580889964,0.01904041136756966,0.003214570012403398,0.005376240742581509,0.08164944057949537
PG,0.06644917021995461,0.03273224105728704,0.053525382399851267,0.06641125050552274,0.06061683894505194,0.026675265819388904,0.05311056197587467,0.13902470401930642,0.06816357800596994,0.06792153575340677,0.041554971525697176,1.0,0.05874251736206117,0.013941565171034906,0.0036411173478712814,0.006085625090791481,0.06707245900269569
XOM,0.05703958079043908,0.030785681214329168,0.08134710108723073,0.11136449020925335,0.45324968712525326,0.03918387327022812,0.04976863988936603,0.05183191432435614,0.09614211064669237,0.06027839125925323,0.04665822580889964,0.05874251736206117,1.0,0.014731505731988496,0.0010207061397859308,0.001971507187879714,0.060731623483164535
GLD,0.012532516997812075,0.017977801373383707,0.011296238295646976,0.013187275421946539,0.01895824645324684,0.015783949088037038,0.01652777801734635,0.014208501665337988,0.011832628819191,0.017869421855749128,0.01904041136756966,0.013941565171034906,0.014731505731988496,1.0,0.021846158682142177,0.027038926040739354,0.016375208739754697
IEF,0.0026649564617496793,0.005065689840608339,0.001791737082101565,0.0019401353502840114,0.0011095952078174402,0.003917941925749579,0.0037038892862885637,0.003773113236483223,0.0016527082943263772,0.003633020052632409,0.003214570012403398,0.0036411173478712814,0.0010207061397859308,0.021846158682142177,1.0,0.28869109153593525,0.005846967942924416
SHY,0.005139680518753995,0.006884076606562819,0.0024937269092374795,0.003479368624406262,0.0019181186819634364,0.005749838960294718,0.0063043153659897745,0.006992808424371715,0.0024074811545007377,0.005751418348165521,0.005376240742581509,0.006085625090791481,0.001971507187879714,0.027038926040739354,0.28869109153593525,1.0,0.01007070558896253
HYG,0.08733601829664582,0.07133981970852002,0.08626120530998048,0.1179434527655921,0.08034624995675245,0.06379078311080182,0.09447162767737531,0.055561639839628155,0.09174209233623162,0.08645521780856384,0.08164944057949537,0.06707245900269569,0.060731623483164535,0.016375208739754697,0.005846967942924416,0.01007070558896253,1.0
