,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG
AAPL,1.0,0.08090088483268075,0.04413099121746504,0.044925641688802954,0.03718264707895739,0.03309034244269078,0.09806015757468825,0.028473250043470753,0.047245841576990265,0.09252832091292919,0.06864027734981006,0.029730521722048285,0.0341421301585783,0.006666382733167819,0.0019031907796067547,0.00224932741738982,0.05941865088989211
AMZN,0.08090088483268075,1.0,0.04368656451821658,0.041333799334728014,0.03355253893180378,0.02840148453036646,0.13486275602602757,0.025993808745495214,0.04704343125265878,0.106636123833736,0.07403389141516509,0.023245569341451475,0.030832702198736815,0.005514949242629612,0.0019051922681446556,0.0020455988010722216,0.055015212391932945
BAC,0.04413099121746504,0.04368656451821658,1.0,0.12708645617114872,0.07269900008893652,0.026956029527454083,0.05230900473165794,0.04133143707508656,0.3520749629991581,0.053338618442014235,0.043215578837025447,0.03245585223101028,0.07066791348192616,0.0034328703700975865,0.00037015817224623934,0.0007666467899255927,0.07079227301629362
BRK-B,0.044925641688802954,0.041333799334728014,0.12708645617114872,1.0,0.07652557443723736,0.02310377403863581,0.05339411094059461,0.07093714757837642,0.13494427876140713,0.05337695339531303,0.035277795793639544,0.05449142952212271,0.07289663252511915,0.0046761764321178656,0.0010936225601041708,0.0022064815260699213,0.07179934896216515
CVX,0.03718264707895739,0.03355253893180378,0.07269900008893652,0.07652557443723736,1.0,0.02863217868832302,0.040208130238658615,0.04706175364979165,0.07874794393865303,0.0443537764203304,0.03212562137283037,0.03651155680265966,0.33869094583837944,0.012550832545826616,0.0010175367331983572,0.0016813002822164737,0.06666238899198318
ENPH,0.03309034244269078,0.02840148453036646,0.026956029527454083,0.02310377403863581,0.02863217868832302,1.0,0.028468163961550653,0.01510889600561108,0.02480902368338291,0.030857046885947394,0.03135954088101706,0.014044985222614617,0.02491994584470665,0.009279460635129418,0.0037783124278571423,0.004745874190098705,0.03669159922397245
GOOGL,0.09806015757468825,0.13486275602602757,0.05230900473165794,0.05339411094059461,0.040208130238658615,0.028468163961550653,1.0,0.03411486397247066,0.057899198935908384,0.12647144893111412,0.08040220075081768,0.02973002807711408,0.038030717065662564,0.006353370911167299,0.0017867229084198221,0.002290470496027188,0.06680662454600124
JNJ,0.028473250043470753,0.025993808745495214,0.04133143707508656,0.07093714757837642,0.04706175364979165,0.01510889600561108,0.03411486397247066,1.0,0.049667796371644646,0.04022665306200953,0.017796111827942055,0.08996298326090062,0.047678992094664994,0.0064767891815463215,0.0022067675396902397,0.0033583422388894814,0.04283353173409488
JPM,0.047245841576990265,0.04704343125265878,0.3520749629991581,0.13494427876140713,0.07874794393865303,0.02480902368338291,0.057899198935908384,0.049667796371644646,1.0,0.06327773638727009,0.04494679576396163,0.0377437565316492,0.07641585497161754,0.0037145051220682694,0.00034948105769502986,0.0007114088779411705,0.06942479377483128
MSFT,0.09252832091292919,0.106636123833736,0.053338618442014235,0.05337695339531303,0.0443537764203304,0.030857046885947394,0.12647144893111412,0.04022665306200953,0.06327773638727009,1.0,0.0971022372161867,0.04173387680485438,0.039223510227228184,0.006103762334435721,0.001563371256898969,0.0017932631140540158,0.0747380104313901
NVDA,0.06864027734981006,0.07403389141516509,0.043215578837025447,0.035277795793639544,0.03212562137283037,0.03135954088101706,0.08040220075081768,0.017796111827942055,0.04494679576396163,0.0971022372161867,1.0,0.017786591358870174,0.02816983311639959,0.006776578534946893,0.001698893393202854,0.0019160521094635085,0.05341291365306042
PG,0.029730521722048285,0.023245569341451475,0.03245585223101028,0.05449142952212271,0.03651155680265966,0.014044985222614617,0.02973002807711408,0.08996298326090062,0.0377437565316492,0.04173387680485438,0.017786591358870174,1.0,0.03828140508282235,0.007153610801822844,0.003393491430267901,0.0043827966106308016,0.04058853564435501
XOM,0.0341421301585783,0.030832702198736815,0.07066791348192616,0.07289663252511915,0.33869094583837944,0.02491994584470665,0.038030717065662564,0.047678992094664994,0.07641585497161754,0.039223510227228184,0.02816983311639959,0.03828140508282235,1.0,0.011910778138470886,0.0009002551395004971,0.001493079425878452,0.05881370560173101
GLD,0.006666382733167819,0.005514949242629612,0.0034328703700975865,0.0046761764321178656,0.012550832545826616,0.009279460635129418,0.006353370911167299,0.0064767891815463215,0.0037145051220682694,0.006103762334435721,0.006776578534946893,0.007153610801822844,0.011910778138470886,1.0,0.024236861014489432,0.023786400311657928,0.009774117376061868
IEF,0.0019031907796067547,0.0019051922681446556,0.00037015817224623934,0.0010936225601041708,0.0010175367331983572,0.0037783124278571423,0.0017867229084198221,0.0022067675396902397,0.00034948105769502986,0.001563371256898969,0.001698893393202854,0.003393491430267901,0.0009002551395004971,0.024236861014489432,1.0,0.2595358822933311,0.004029900412079008
SHY,0.00224932741738982,0.0020455988010722216,0.0007666467899255927,0.0022064815260699213,0.0016813002822164737,0.004745874190098705,0.002290470496027188,0.0033583422388894814,0.0007114088779411705,0.0017932631140540158,0.0019160521094635085,0.0043827966106308016,0.001493079425878452,0.023786400311657928,0.2595358822933311,1.0,0.005795181557377877
HYG,0.05941865088989211,0.055015212391932945,0.07079227301629362,0.07179934896216515,0.06666238899198318,0.03669159922397245,0.06680662454600124,0.04283353173409488,0.06942479377483128,0.0747380104313901,0.05341291365306042,0.04058853564435501,0.05881370560173101,0.009774117376061868,0.004029900412079008,0.005795181557377877,1.0
