,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG
AAPL,1.0,0.4584527220630372,0.3151862464183381,0.37249283667621774,0.3151862464183381,0.28653295128939826,0.5157593123209169,0.37249283667621774,0.25787965616045844,0.5444126074498568,0.48710601719197705,0.3438395415472779,0.28653295128939826,0.08595988538681948,0.05730659025787965,0.1146131805157593,0.37249283667621774
AMZN,0.4584527220630372,1.0,0.25787965616045844,0.25787965616045844,0.2005730659025788,0.2292263610315186,0.37249283667621774,0.25787965616045844,0.2005730659025788,0.48710601719197705,0.37249283667621774,0.2292263610315186,0.2005730659025788,0.2005730659025788,0.08595988538681948,0.1146131805157593,0.25787965616045844
BAC,0.3151862464183381,0.25787965616045844,1.0,0.4297994269340974,0.4584527220630372,0.2292263610315186,0.28653295128939826,0.28653295128939826,0.6303724928366762,0.4011461318051576,0.3438395415472779,0.37249283667621774,0.3151862464183381,0.14326647564469913,0.028653295128939826,0.0,0.37249283667621774
BRK-B,0.37249283667621774,0.25787965616045844,0.4297994269340974,1.0,0.4297994269340974,0.2005730659025788,0.37249283667621774,0.3151862464183381,0.4584527220630372,0.48710601719197705,0.37249283667621774,0.3151862464183381,0.3151862464183381,0.1146131805157593,0.08595988538681948,0.08595988538681948,0.5444126074498568
CVX,0.3151862464183381,0.2005730659025788,0.4584527220630372,0.4297994269340974,1.0,0.25787965616045844,0.3438395415472779,0.37249283667621774,0.4297994269340974,0.4011461318051576,0.3438395415472779,0.3151862464183381,0.7163323782234956,0.14326647564469913,0.05730659025787965,0.028653295128939826,0.37249283667621774
ENPH,0.28653295128939826,0.2292263610315186,0.2292263610315186,0.2005730659025788,0.25787965616045844,1.0,0.28653295128939826,0.2292263610315186,0.17191977077363896,0.3151862464183381,0.2292263610315186,0.25787965616045844,0.25787965616045844,0.14326647564469913,0.08595988538681948,0.028653295128939826,0.3438395415472779
GOOGL,0.5157593123209169,0.37249283667621774,0.28653295128939826,0.37249283667621774,0.3438395415472779,0.28653295128939826,1.0,0.3438395415472779,0.3151862464183381,0.5444126074498568,0.4011461318051576,0.3438395415472779,0.3438395415472779,0.14326647564469913,0.028653295128939826,0.05730659025787965,0.4297994269340974
JNJ,0.37249283667621774,0.25787965616045844,0.28653295128939826,0.3151862464183381,0.37249283667621774,0.2292263610315186,0.3438395415472779,1.0,0.28653295128939826,0.37249283667621774,0.3151862464183381,0.4011461318051576,0.3151862464183381,0.1146131805157593,0.028653295128939826,0.028653295128939826,0.3151862464183381
JPM,0.25787965616045844,0.2005730659025788,0.6303724928366762,0.4584527220630372,0.4297994269340974,0.17191977077363896,0.3151862464183381,0.28653295128939826,1.0,0.4297994269340974,0.3438395415472779,0.3438395415472779,0.25787965616045844,0.1146131805157593,0.028653295128939826,0.0,0.4297994269340974
MSFT,0.5444126074498568,0.48710601719197705,0.4011461318051576,0.48710601719197705,0.4011461318051576,0.3151862464183381,0.5444126074498568,0.37249283667621774,0.4297994269340974,1.0,0.48710601719197705,0.4011461318051576,0.28653295128939826,0.1146131805157593,0.05730659025787965,0.08595988538681948,0.4584527220630372
NVDA,0.48710601719197705,0.37249283667621774,0.3438395415472779,0.37249283667621774,0.3438395415472779,0.2292263610315186,0.4011461318051576,0.3151862464183381,0.3438395415472779,0.48710601719197705,1.0,0.28653295128939826,0.2292263610315186,0.14326647564469913,0.08595988538681948,0.08595988538681948,0.48710601719197705
PG,0.3438395415472779,0.2292263610315186,0.37249283667621774,0.3151862464183381,0.3151862464183381,0.25787965616045844,0.3438395415472779,0.4011461318051576,0.3438395415472779,0.4011461318051576,0.28653295128939826,1.0,0.3151862464183381,0.2005730659025788,0.05730659025787965,0.05730659025787965,0.28653295128939826
XOM,0.28653295128939826,0.2005730659025788,0.3151862464183381,0.3151862464183381,0.7163323782234956,0.25787965616045844,0.3438395415472779,0.3151862464183381,0.25787965616045844,0.28653295128939826,0.2292263610315186,0.3151862464183381,1.0,0.1146131805157593,0.028653295128939826,0.028653295128939826,0.28653295128939826
GLD,0.08595988538681948,0.2005730659025788,0.14326647564469913,0.1146131805157593,0.14326647564469913,0.14326647564469913,0.14326647564469913,0.1146131805157593,0.1146131805157593,0.1146131805157593,0.14326647564469913,0.2005730659025788,0.1146131805157593,1.0,0.08595988538681948,0.1146131805157593,0.17191977077363896
IEF,0.05730659025787965,0.08595988538681948,0.028653295128939826,0.08595988538681948,0.05730659025787965,0.08595988538681948,0.028653295128939826,0.028653295128939826,0.028653295128939826,0.05730659025787965,0.08595988538681948,0.05730659025787965,0.028653295128939826,0.08595988538681948,1.0,0.5157593123209169,0.08595988538681948
SHY,0.1146131805157593,0.1146131805157593,0.0,0.08595988538681948,0.028653295128939826,0.028653295128939826,0.05730659025787965,0.028653295128939826,0.0,0.08595988538681948,0.08595988538681948,0.05730659025787965,0.028653295128939826,0.1146131805157593,0.5157593123209169,1.0,0.08595988538681948
HYG,0.37249283667621774,0.25787965616045844,0.37249283667621774,0.5444126074498568,0.37249283667621774,0.3438395415472779,0.4297994269340974,0.3151862464183381,0.4297994269340974,0.4584527220630372,0.48710601719197705,0.28653295128939826,0.28653295128939826,0.17191977077363896,0.08595988538681948,0.08595988538681948,1.0
