,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG
AAPL,1.0,0.43026706231454004,0.3214638971315529,0.29673590504451036,0.29673590504451036,0.21760633036597427,0.4154302670623145,0.23738872403560832,0.35113748763600394,0.43026706231454004,0.35608308605341243,0.21266073194856577,0.3165182987141444,0.10385756676557863,0.03461918892185954,0.05934718100890208,0.27200791295746785
AMZN,0.43026706231454004,1.0,0.30168150346191885,0.30168150346191885,0.29179030662710187,0.18793273986152326,0.45994065281899105,0.23738872403560832,0.3264094955489614,0.440158259149357,0.40059347181008903,0.21266073194856577,0.23244312561819977,0.0791295746785361,0.05934718100890208,0.06429277942631058,0.3165182987141444
BAC,0.3214638971315529,0.30168150346191885,1.0,0.40059347181008903,0.3264094955489614,0.21266073194856577,0.3461918892185954,0.2571711177052423,0.6577645895153313,0.3610286844708209,0.29179030662710187,0.23244312561819977,0.29179030662710187,0.12363996043521266,0.044510385756676554,0.03956478733926805,0.3758654797230465
BRK-B,0.29673590504451036,0.30168150346191885,0.40059347181008903,1.0,0.35608308605341243,0.18793273986152326,0.3461918892185954,0.3610286844708209,0.40059347181008903,0.3659742828882294,0.29179030662710187,0.3066271018793274,0.3461918892185954,0.08902077151335311,0.05934718100890208,0.06923837784371908,0.35608308605341243
CVX,0.29673590504451036,0.29179030662710187,0.3264094955489614,0.35608308605341243,1.0,0.21760633036597427,0.27695351137487634,0.3165182987141444,0.3659742828882294,0.3412462908011869,0.2868447082096934,0.27200791295746785,0.6280909990108803,0.14836795252225518,0.03956478733926805,0.04945598417408506,0.3659742828882294
ENPH,0.21760633036597427,0.18793273986152326,0.21266073194856577,0.18793273986152326,0.21760633036597427,1.0,0.20276953511374876,0.1582591493570722,0.19287833827893175,0.22749752720079128,0.21266073194856577,0.13353115727002965,0.18793273986152326,0.12363996043521266,0.06429277942631058,0.06923837784371908,0.20276953511374876
GOOGL,0.4154302670623145,0.45994065281899105,0.3461918892185954,0.3461918892185954,0.27695351137487634,0.20276953511374876,1.0,0.27695351137487634,0.35608308605341243,0.49455984174085066,0.43521266073194853,0.23244312561819977,0.2621167161226508,0.06429277942631058,0.044510385756676554,0.05934718100890208,0.3264094955489614
JNJ,0.23738872403560832,0.23738872403560832,0.2571711177052423,0.3610286844708209,0.3165182987141444,0.1582591493570722,0.27695351137487634,1.0,0.29673590504451036,0.3264094955489614,0.20276953511374876,0.410484668644906,0.2868447082096934,0.10880316518298713,0.04945598417408506,0.03956478733926805,0.28189910979228483
JPM,0.35113748763600394,0.3264094955489614,0.6577645895153313,0.40059347181008903,0.3659742828882294,0.19287833827893175,0.35608308605341243,0.29673590504451036,1.0,0.35113748763600394,0.29673590504451036,0.2670623145400593,0.3264094955489614,0.10385756676557863,0.044510385756676554,0.054401582591493566,0.3659742828882294
MSFT,0.43026706231454004,0.440158259149357,0.3610286844708209,0.3659742828882294,0.3412462908011869,0.22749752720079128,0.49455984174085066,0.3264094955489614,0.35113748763600394,1.0,0.440158259149357,0.27695351137487634,0.3214638971315529,0.09396636993076163,0.044510385756676554,0.06429277942631058,0.3461918892185954
NVDA,0.35608308605341243,0.40059347181008903,0.29179030662710187,0.29179030662710187,0.2868447082096934,0.21266073194856577,0.43521266073194853,0.20276953511374876,0.29673590504451036,0.440158259149357,1.0,0.20276953511374876,0.24727992087042533,0.0840751730959446,0.03956478733926805,0.06429277942631058,0.29673590504451036
PG,0.21266073194856577,0.21266073194856577,0.23244312561819977,0.3066271018793274,0.27200791295746785,0.13353115727002965,0.23244312561819977,0.410484668644906,0.2670623145400593,0.27695351137487634,0.20276953511374876,1.0,0.2522255192878338,0.09891196834817012,0.07418397626112759,0.0791295746785361,0.2522255192878338
XOM,0.3165182987141444,0.23244312561819977,0.29179030662710187,0.3461918892185954,0.6280909990108803,0.18793273986152326,0.2621167161226508,0.2868447082096934,0.3264094955489614,0.3214638971315529,0.24727992087042533,0.2522255192878338,1.0,0.14836795252225518,0.03461918892185954,0.03956478733926805,0.3313550939663699
GLD,0.10385756676557863,0.0791295746785361,0.12363996043521266,0.08902077151335311,0.14836795252225518,0.12363996043521266,0.06429277942631058,0.10880316518298713,0.10385756676557863,0.09396636993076163,0.0840751730959446,0.09891196834817012,0.14836795252225518,1.0,0.21266073194856577,0.1681503461918892,0.1533135509396637
IEF,0.03461918892185954,0.05934718100890208,0.044510385756676554,0.05934718100890208,0.03956478733926805,0.06429277942631058,0.044510385756676554,0.04945598417408506,0.044510385756676554,0.044510385756676554,0.03956478733926805,0.07418397626112759,0.03461918892185954,0.21266073194856577,1.0,0.5489614243323442,0.13847675568743817
SHY,0.05934718100890208,0.06429277942631058,0.03956478733926805,0.06923837784371908,0.04945598417408506,0.06923837784371908,0.05934718100890208,0.03956478733926805,0.054401582591493566,0.06429277942631058,0.06429277942631058,0.0791295746785361,0.03956478733926805,0.1681503461918892,0.5489614243323442,1.0,0.13847675568743817
HYG,0.27200791295746785,0.3165182987141444,0.3758654797230465,0.35608308605341243,0.3659742828882294,0.20276953511374876,0.3264094955489614,0.28189910979228483,0.3659742828882294,0.3461918892185954,0.29673590504451036,0.2522255192878338,0.3313550939663699,0.1533135509396637,0.13847675568743817,0.13847675568743817,1.0
