family,lambda,n,seed,df_used,vol_mult,tail_mult,apply_to,VaR5,ES5,VaR1,ES1,mean,vol
S1_Estanflacion_2022,0.0,25000,777,10.0,1.0,1.0,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.02412546369118767,-0.036388730270450184,-0.043685787191313455,-0.057037007192179,0.000970545161134435,0.016027093275480308
S1_Estanflacion_2022,0.05,25000,777,9.95,1.0175,1.0125,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.02480140857293935,-0.037453165445935056,-0.04499452696222914,-0.058847779493769285,0.0009581332097860113,0.016434658343061573
S1_Estanflacion_2022,0.1,25000,777,9.9,1.0350000000000001,1.025,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.02550096711531137,-0.038497973162843695,-0.046498408494164985,-0.060699591528146975,0.0009782143596533603,0.016926230618265727
S1_Estanflacion_2022,0.15000000000000002,25000,777,9.85,1.0525,1.0375,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.025915697880172943,-0.03958105128493231,-0.04799495482842588,-0.06319772342801894,0.000915511985947095,0.017194853629993085
S1_Estanflacion_2022,0.2,25000,777,9.8,1.07,1.05,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.0265255045572203,-0.04069552381482077,-0.049299383305229136,-0.06513875873132834,0.0009012716335688195,0.017615841092100955
S1_Estanflacion_2022,0.25,25000,777,9.75,1.0875,1.0625,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.027001312209719863,-0.04186009277843027,-0.05063139906540057,-0.0677584674664127,0.0009143519062186367,0.01810791615568288
S1_Estanflacion_2022,0.30000000000000004,25000,777,9.7,1.105,1.075,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.027695312044309868,-0.04300786996242777,-0.05205084859899164,-0.06979707596558032,0.0008989993096932054,0.018538497356369244
S1_Estanflacion_2022,0.35000000000000003,25000,777,9.649999999999999,1.1225,1.0875,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.028246541862192248,-0.04415424465454001,-0.05249659157584098,-0.07237358662601048,0.0008569920318013772,0.01894154463500578
S1_Estanflacion_2022,0.4,25000,777,9.6,1.1400000000000001,1.1,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.028900264609897287,-0.04533793454875527,-0.05415364805668238,-0.07449297210440575,0.0008403811646212256,0.0193789431772395
S1_Estanflacion_2022,0.45,25000,777,9.55,1.1575000000000002,1.1125,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.029619816521703535,-0.04653329929832552,-0.05565410331807121,-0.07666228763652959,0.0008241610592203363,0.01982412891504783
S1_Estanflacion_2022,0.5,25000,777,9.5,1.175,1.125,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.030376038547840347,-0.04774254714729303,-0.05721300505108478,-0.07885594735411693,0.0008069437791923273,0.020271965780911522
S1_Estanflacion_2022,0.55,25000,777,9.45,1.1925000000000001,1.1375,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.031685520634341165,-0.04904486060939967,-0.059756485100923365,-0.07947837009920508,0.0008150050105888506,0.02083118628197682
S1_Estanflacion_2022,0.6000000000000001,25000,777,9.399999999999999,1.21,1.15,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.03236185480527725,-0.05068916083354992,-0.0626277026228612,-0.08355346186213163,0.0007704384565448073,0.02132181648602537
S1_Estanflacion_2022,0.65,25000,777,9.350000000000001,1.2275,1.1625,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.0331457293755424,-0.05147891900857025,-0.06320485096406361,-0.08357775698054987,0.0007725980091627948,0.02175125511357871
S1_Estanflacion_2022,0.7000000000000001,25000,777,9.3,1.245,1.175,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.033817226442060255,-0.05254537346224196,-0.06425400792545968,-0.08597011074103669,0.0007560673047822122,0.022085789763954332
S1_Estanflacion_2022,0.75,25000,777,9.25,1.2625000000000002,1.1875,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.03445595329246308,-0.05367389731322305,-0.065382648747161,-0.08752056333494614,0.0007457037363268115,0.022472778154810615
S1_Estanflacion_2022,0.8,25000,777,9.2,1.28,1.2,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.035360456691578064,-0.055313713214386634,-0.06796443425204295,-0.09053379116900154,0.0006976996255888989,0.02310928743222483
S1_Estanflacion_2022,0.8500000000000001,25000,777,9.149999999999999,1.2975,1.2125,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.035844066522511785,-0.0571085294638332,-0.07035720712368798,-0.09423282259909388,0.0007010016460285219,0.023597143757633523
S1_Estanflacion_2022,0.9,25000,777,9.1,1.315,1.225,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.036630369977276034,-0.05847816183838074,-0.07194693188968587,-0.0967354229066647,0.0006794479335280632,0.024082895412308545
S1_Estanflacion_2022,0.9500000000000001,25000,777,9.05,1.3325,1.2374999999999998,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.037877005571358056,-0.06027101274160598,-0.07397052116463293,-0.09996085903769193,0.0006063534987387545,0.024646411137179663
S1_Estanflacion_2022,1.0,25000,777,9.0,1.35,1.25,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.03856142806845559,-0.061683752185718775,-0.07576483702571603,-0.1025750700913161,0.0005838830367201473,0.025145491612905493
S2_Crisis_Credito_2008,0.0,25000,777,10.0,1.0,1.0,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.02412546369118767,-0.036388730270450184,-0.043685787191313455,-0.057037007192179,0.000970545161134435,0.016027093275480308
S2_Crisis_Credito_2008,0.05,25000,777,9.825,1.0274999999999999,1.035,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.025139263670723222,-0.03842324806432614,-0.0467907173561056,-0.06133072303865944,0.0009202245394154315,0.016714641105482413
S2_Crisis_Credito_2008,0.1,25000,777,9.65,1.0550000000000002,1.07,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.026045971993021264,-0.040608729873055124,-0.04855583898565841,-0.06633556395402895,0.0008840260066532139,0.017523090549053065
S2_Crisis_Credito_2008,0.15000000000000002,25000,777,9.475,1.0825,1.105,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.02762482733078195,-0.04290557048864498,-0.05237197151866653,-0.06897740908544381,0.0008697217058681241,0.018409646519844496
S2_Crisis_Credito_2008,0.2,25000,777,9.3,1.11,1.1400000000000001,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.029113311190583267,-0.045006728387039945,-0.05528570956204499,-0.07302032369375731,0.0008258572325982946,0.019109337702027652
S2_Crisis_Credito_2008,0.25,25000,777,9.125,1.1375,1.175,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.03023179776424119,-0.04789692337087203,-0.05882031513656291,-0.07868808846483537,0.0007908369609144301,0.020033764938865516
S2_Crisis_Credito_2008,0.30000000000000004,25000,777,8.95,1.165,1.21,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.0320839768382731,-0.05021724946732485,-0.06309113473691691,-0.08180608074037207,0.0006977165707688149,0.02084708916773749
S2_Crisis_Credito_2008,0.35000000000000003,25000,777,8.774999999999999,1.1925,1.245,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.03296563411348704,-0.0522601722218359,-0.06414413212849071,-0.08536284067619661,0.000672726921719652,0.021675607313580193
S2_Crisis_Credito_2008,0.4,25000,777,8.6,1.2200000000000002,1.28,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.034216214353494964,-0.054569954100635004,-0.06799595326055698,-0.09087570784871044,0.0007099743222020734,0.022681644571183438
S2_Crisis_Credito_2008,0.45,25000,777,8.425,1.2475,1.315,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.03565935678265441,-0.05719542906961292,-0.07048396881449095,-0.09774700922193486,0.0006148621336511517,0.023461586520821764
S2_Crisis_Credito_2008,0.5,25000,777,8.25,1.275,1.35,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.03728754479967729,-0.06227845986008754,-0.07848420114417358,-0.10636124532299286,0.0004324850359546135,0.024673342684018867
S2_Crisis_Credito_2008,0.55,25000,777,8.075,1.3025000000000002,1.385,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.037723206474150665,-0.06252183840976475,-0.07654155995886928,-0.10427190165838818,0.0005360589014779442,0.025263850271618652
S2_Crisis_Credito_2008,0.6000000000000001,25000,777,7.8999999999999995,1.33,1.42,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.039105363902078076,-0.06540369246204215,-0.08018177024375428,-0.10993818617467094,0.00048270862654040743,0.026231275672060315
S2_Crisis_Credito_2008,0.65,25000,777,7.7250000000000005,1.3575,1.455,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.040799863342931876,-0.06954052699639578,-0.08963647688864876,-0.12165195783897119,0.00028922292292172174,0.027214438655377007
S2_Crisis_Credito_2008,0.7000000000000001,25000,777,7.55,1.3850000000000002,1.4900000000000002,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.04216642946947348,-0.07055311106095749,-0.08925161401418166,-0.1231882689071623,0.0004008924191924404,0.028097754765810768
S2_Crisis_Credito_2008,0.75,25000,777,7.375,1.4125,1.525,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.043181091348509275,-0.07486286344192553,-0.09423359021317684,-0.1344738006921877,0.0002956407009594702,0.029377380256280113
S2_Crisis_Credito_2008,0.8,25000,777,7.199999999999999,1.4400000000000002,1.56,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.04539475624014276,-0.07863076055571334,-0.09984475985309453,-0.1381114943933273,0.00024325470710366125,0.030400654664316917
